Bait,Prey,Abundance,Reproduce,Specificity ,MIST,Virus
NS4A,P18031,0.000341805,0.81050614,0.616479247,0.635097664,DENV
NS4A,P51648,0.00032689,0.904223202,0.558825134,0.635034598,DENV
NS4A,Q5HYI8,0.000683304,0.951864829,0.528043387,0.634192085,DENV
NS4A,O75489,0.000740153,0.811375726,0.614266136,0.634172414,DENV
NS4A,Q5BJD5,0.000405745,0.976558693,0.50925505,0.632103381,DENV
NS4A,Q8WWC4,0.00038734,0.875158407,0.565906119,0.628902917,DENV
NS4A,Q9Y4W6,0.000562075,0.966427502,0.509458034,0.628685671,DENV
NS4A,Q6P4A7,0.000231625,0.706363938,0.666200798,0.626980363,DENV
NS4A,Q9HAV4,0.000131713,0.78952347,0.611777093,0.625056695,DENV
NS4A,Q9BVC6,0.00264457,0.976576321,0.491783579,0.622329918,DENV
NS4A,Q8WVM8,0.000246321,0.934747818,0.513592061,0.619928917,DENV
NS4A,Q9NYP7,0.000839335,0.968600012,0.489366684,0.618016161,DENV
NS4A,Q15629,0.00038163,0.959728123,0.492333038,0.616565205,DENV
NS4A,Q12907,0.000436132,0.891313744,0.530701859,0.614494761,DENV
NS4A,P55786,0.00020763,0.802654983,0.583967593,0.613807382,DENV
NS4A,Q96JB2,7.06579E-05,0.512043371,0.761162949,0.613083713,DENV
NS4A,P04181,0.000295203,0.825921313,0.567978131,0.61284361,DENV
NS4A,Q9Y320,0.000146303,0.355655301,0.847917321,0.607803933,DENV
NS4A,Q9Y3A6,0.000383912,0.674107179,0.64789355,0.605267549,DENV
NS4A,P51153,0.000297609,0.779283833,0.578657965,0.60260819,DENV
NS4A,Q969N2,0.000137439,0.782905761,0.572791365,0.60051909,DENV
NS4A,P46977,0.002478217,0.969417762,0.456798104,0.599869393,DENV
NS4A,O15260,0.002345126,0.954514833,0.465759624,0.599750787,DENV
NS4A,P04844,0.007506011,0.967711094,0.456597491,0.599559933,DENV
NS4A,Q8TED1,0.000168321,0.528470818,0.72531879,0.598409962,DENV
NS4A,Q15392,0.000283008,0.90128261,0.488018866,0.593642308,DENV
NS4A,P19367,8.6555E-05,0.677698193,0.62468053,0.593269194,DENV
NS4A,Q6IAN0,0.000580045,0.943113359,0.453943248,0.58888373,DENV
NS4A,Q8TCT9,0.000545135,0.982680878,0.42945882,0.588773445,DENV
NS4A,Q7Z3U7,2.68507E-05,0.536042663,0.703156968,0.588416552,DENV
NS4A,O00264,0.004034424,0.994725183,0.419283019,0.587467889,DENV
NS4A,Q92643,0.000982339,0.954605484,0.442674479,0.58651496,DENV
NS4A,Q9BQB6,0.00084218,0.903933328,0.473130479,0.586128412,DENV
NS4A,Q8NF37,0.000558886,0.96692641,0.425533906,0.581023281,DENV
NS4A,Q92685,8.01924E-05,0.70767461,0.579217785,0.577846666,DENV
NS4A,P39656,0.006269821,0.988140318,0.404818086,0.577097006,DENV
NS4A,Q9H2J7,3.81805E-05,0.564319626,0.661557409,0.574602647,DENV
NS4A,P00747,2.34458E-05,0.348323033,0.793801142,0.574381588,DENV
NS4A,Q53H12,0.000708036,0.906235003,0.450265738,0.573890364,DENV
NS4A,O95182,0.000198835,5.13898E-11,1,0.570015907,DENV
NS4A,Q9BV81,0.000197765,5.13898E-11,1,0.570015821,DENV
NS4A,O75380,0.000173842,5.13898E-11,1,0.570013907,DENV
NS4A,O75438,0.000145313,5.13898E-11,1,0.570011625,DENV
NS4A,O43676,0.000110035,5.13898E-11,1,0.570008803,DENV
NS4A,Q14964,0.00010419,5.13898E-11,1,0.570008335,DENV
NS4A,Q9Y2R0,0.000101681,5.13898E-11,1,0.570008135,DENV
NS4A,Q96DA2,9.66654E-05,5.13898E-11,1,0.570007733,DENV
NS4A,Q96ET8,8.03803E-05,5.13898E-11,1,0.57000643,DENV
NS4A,O14966,7.5083E-05,5.13898E-11,1,0.570006007,DENV
NS4A,P62491,7.13458E-05,5.13898E-11,1,0.570005708,DENV
NS4A,Q53FV1,6.28241E-05,5.13898E-11,1,0.570005026,DENV
NS4A,O00258,5.51027E-05,5.13898E-11,1,0.570004408,DENV
NS4A,Q96FZ5,5.46785E-05,5.13898E-11,1,0.570004374,DENV
NS4A,Q00765,5.05815E-05,5.13898E-11,1,0.570004047,DENV
NS4A,Q8NC56,4.57469E-05,5.13898E-11,1,0.57000366,DENV
NS4A,P39210,4.40431E-05,5.13898E-11,1,0.570003523,DENV
NS4A,Q6P587,4.38373E-05,5.13898E-11,1,0.570003507,DENV
NS4A,Q9NX40,4.2941E-05,5.13898E-11,1,0.570003435,DENV
NS4A,Q9Y2Q3,4.26986E-05,5.13898E-11,1,0.570003416,DENV
NS4A,Q9H3M0,4.26859E-05,5.13898E-11,1,0.570003415,DENV
NS4A,Q15125,4.12694E-05,5.13898E-11,1,0.570003302,DENV
NS4A,P01111,4.1061E-05,5.13898E-11,1,0.570003285,DENV
NS4A,Q96HV5,4.00676E-05,5.13898E-11,1,0.570003205,DENV
NS4A,P51148,3.70127E-05,5.13898E-11,1,0.570002961,DENV
NS4A,P51809,3.48837E-05,5.13898E-11,1,0.570002791,DENV
NS4A,Q9GZR5,3.3933E-05,5.13898E-11,1,0.570002715,DENV
NS4A,Q9NPL8,3.37787E-05,5.13898E-11,1,0.570002702,DENV
